Users,Number of Posts,Number of Followers,Number of Followings,Number of Likes for the Tenth Previous Post,Number of Likes for the Eleventh Previous Post,Number of Likes for the Twelfth Previous Post,Number of Self-Presenting Posts from Nine Previous Posts, Gender
User-178,192,740,582,73,92,105,9,f
User-179,829,901,510,104,113,127,6,f
User-180,80,453,437,48,75,45,8,f
User-181,88,240,472,17,12,7,6,m
User-182,138,335,330,18,16,12,4,m
User-183,314,"1,646","1,314",90,90,65,6,f
User-184,159,231,314,37,36,40,5,f
User-185,419,463,579,40,49,43,3,f
User-186,806,269,740,11,7,10,2,f
User-187,404,"1,649","2,378",77,59,49,0,m
User-188,474,"3,855","3,787",178,230,234,3,f
User-189,95,872,"3,127",42,55,39,7,f
User-190,76,45,319,7,4,5,4,m
User-191,220,649,"3,710",28,80,31,9,f
User-192,382,746,"2,987",16,24,24,2,f
User-193,377,84,215,3,3,9,4,f
User-194,105,"1,534","5,064",56,45,73,7,m
User-195,240,"5,702","3,923",969,886,952,5,f
User-196,"6,694",697,"2,809",8,9,13,5,m
User-197,87,"1,022","5,214",56,28,30,6,m
User-198,76,"2,201","1,684",262,329,175,1,f
User-199,59,818,"2,878",11,16,11,1,m
User-200,391,404,730,20,19,31,3,f
User-201,373,"9,381","7,405",144,165,135,6,m
User-202,122,221,390,23,22,30,4,m
User-203,373,"2,469",661,286,230,223,0,m
User-204,265,"2,988","4,989",142,70,91,2,f
User-205,73,336,553,21,22,30,2,m
User-206,99,98,110,17,12,7,5,m
User-207,71,134,165,23,19,11,3,m
User-208,149,"2,391","1,924",349,356,379,8,f
User-209,295,869,"2,954",47,20,36,5,f
User-210,"2,323",550,"1,742",12,18,23,4,f
User-211,68,95,170,7,5,7,9,m
User-212,215,703,"2,095",84,55,68,9,m
User-213,281,504,459,69,32,33,1,m
User-214,105,359,459,59,56,35,8,m
User-215,116,317,250,34,59,144,5,f
User-216,67,200,262,47,43,58,5,m
User-217,307,"1,245",899,242,323,303,0,f
User-218,160,519,"2,756",29,20,20,0,m
User-219,754,"1,421",731,449,405,341,0,f
User-220,81,"2,653","4,727",361,396,482,0,m
User-221,112,122,269,20,30,26,0,m
User-222,527,"3,736","6,585",691,684,486,1,m
User-223,58,354,"1,763",63,61,85,0,f
User-224,405,221,530,65,21,58,0,f
User-225,644,"1,247","7,503",46,49,31,0,f
User-226,398,344,"1,338",21,30,24,0,f
User-227,575,"2,202","5,690",342,359,313,0,f
User-228,287,"5,968","6,291",255,352,362,5,f
User-229,"2,805","7,448","6,935",578,585,551,1,f
User-230,85,368,289,47,63,56,9,f
User-231,250,"1,434",714,153,179,158,9,m
User-232,109,535,282,86,109,79,9,m
User-233,67,575,359,110,51,98,9,m
User-234,"1,112","1,668",883,146,175,187,7,f
User-235,148,872,293,140,146,177,9,f
User-236,85,"3,923","3,904",683,450,454,9,f
User-237,127,"2,600","1,863",343,263,395,3,f
